tweet_id,favorites,retweets,user_followers,user_favourites,date_time
670717338665226240,1239,512,7415095,139459,2015-11-28 21:34:09
670727704916926465,846,373,7415095,139459,2015-11-28 22:15:21
670733412878163972,988,528,7415095,139459,2015-11-28 22:38:01
670755717859713024,453,116,7415095,139459,2015-11-29 00:06:39
670764103623966721,1098,437,7415095,139459,2015-11-29 00:39:59
670778058496974848,336,74,7415095,139459,2015-11-29 01:35:26
670780561024270336,799,297,7415095,139459,2015-11-29 01:45:22
670782429121134593,1604,799,7415095,139459,2015-11-29 01:52:48
670783437142401025,833,408,7415095,139459,2015-11-29 01:56:48
670786190031921152,612,207,7415095,139459,2015-11-29 02:07:44
670789397210615808,677,248,7415095,139459,2015-11-29 02:20:29
670792680469889025,852,287,7415095,139459,2015-11-29 02:33:32
670797304698376195,750,244,7415095,139459,2015-11-29 02:51:54
670803562457407488,348,89,7415095,139459,2015-11-29 03:16:46
670804601705242624,2011,987,7415095,139459,2015-11-29 03:20:54
670807719151067136,1177,504,7415095,139459,2015-11-29 03:33:17
670811965569282048,1157,277,7415095,139459,2015-11-29 03:50:10
670815497391357952,3243,1594,7415095,139459,2015-11-29 04:04:12
670822709593571328,627,99,7415095,139459,2015-11-29 04:32:51
670823764196741120,795,198,7415095,139459,2015-11-29 04:37:03
670826280409919488,5674,4200,7415095,139459,2015-11-29 04:47:03
670832455012716544,750,226,7415095,139459,2015-11-29 05:11:35
670833812859932673,462,128,7415095,139459,2015-11-29 05:16:59
670838202509447168,1139,721,7415095,139459,2015-11-29 05:34:25
670840546554966016,609,201,7415095,139459,2015-11-29 05:43:44
670842764863651840,25088,9040,7415095,139459,2015-11-29 05:52:33
670995969505435648,1128,301,7415095,139459,2015-11-29 16:01:20
671109016219725825,1171,455,7415095,139459,2015-11-29 23:30:32
671115716440031232,1388,799,7415095,139459,2015-11-29 23:57:10
671122204919246848,3573,2607,7415095,139459,2015-11-30 00:22:57
671134062904504320,768,199,7415095,139459,2015-11-30 01:10:04
671138694582165504,952,418,7415095,139459,2015-11-30 01:28:28
671141549288370177,1194,674,7415095,139459,2015-11-30 01:39:49
671147085991960577,689,235,7415095,139459,2015-11-30 02:01:49
671151324042559489,689,159,7415095,139459,2015-11-30 02:18:39
671154572044468225,739,226,7415095,139459,2015-11-30 02:31:34
671159727754231808,384,84,7415095,139459,2015-11-30 02:52:03
671163268581498880,1694,1143,7415095,139459,2015-11-30 03:06:07
671166507850801152,891,365,7415095,139459,2015-11-30 03:18:59
671182547775299584,1151,356,7415095,139459,2015-11-30 04:22:44
671186162933985280,753,219,7415095,139459,2015-11-30 04:37:05
671347597085433856,984,442,7415095,139459,2015-11-30 15:18:34
671355857343524864,489,117,7415095,139459,2015-11-30 15:51:24
671357843010908160,408,151,7415095,139459,2015-11-30 15:59:17
671362598324076544,1134,301,7415095,139459,2015-11-30 16:18:11
671390180817915904,1448,759,7415095,139459,2015-11-30 18:07:47
671485057807351808,779,239,7415095,139459,2015-12-01 00:24:48
671486386088865792,595,212,7415095,139459,2015-12-01 00:30:04
671488513339211776,1033,486,7415095,139459,2015-12-01 00:38:31
671497587707535361,937,461,7415096,139459,2015-12-01 01:14:35
671504605491109889,7195,3657,7415096,139459,2015-12-01 01:42:28
671511350426865664,1642,749,7415096,139459,2015-12-01 02:09:16
671518598289059840,971,302,7415096,139459,2015-12-01 02:38:04
671520732782923777,1424,542,7415096,139459,2015-12-01 02:46:33
671528761649688577,856,265,7415096,139459,2015-12-01 03:18:27
671533943490011136,1041,599,7415096,139459,2015-12-01 03:39:03
671536543010570240,1203,422,7415096,139459,2015-12-01 03:49:23
671538301157904385,942,411,7415096,139459,2015-12-01 03:56:22
671542985629241344,1111,587,7415096,139459,2015-12-01 04:14:59
671544874165002241,2029,1084,7415096,139459,2015-12-01 04:22:29
671547767500775424,1379,615,7415096,139459,2015-12-01 04:33:59
671561002136281088,13116,7475,7415096,139459,2015-12-01 05:26:34
671729906628341761,8687,4511,7415096,139459,2015-12-01 16:37:44
671735591348891648,1477,782,7415096,139459,2015-12-01 17:00:19
671743150407421952,757,238,7415096,139459,2015-12-01 17:30:22
671744970634719232,1376,797,7415096,139459,2015-12-01 17:37:36
671763349865160704,1715,956,7415096,139459,2015-12-01 18:50:38
671768281401958400,1220,543,7415096,139459,2015-12-01 19:10:13
671789708968640512,7212,3607,7415096,139459,2015-12-01 20:35:22
671855973984772097,927,468,7415096,139459,2015-12-02 00:58:41
671866342182637568,1150,517,7415096,139459,2015-12-02 01:39:53
671874878652489728,1275,577,7415096,139459,2015-12-02 02:13:48
671879137494245376,1450,712,7415096,139459,2015-12-02 02:30:43
671882082306625538,3545,1420,7415096,139459,2015-12-02 02:42:26
671891728106971137,1359,585,7415096,139459,2015-12-02 03:20:45
671896809300709376,8638,4303,7415096,139459,2015-12-02 03:40:57
672068090318987265,1324,532,7415096,139459,2015-12-02 15:01:33
672082170312290304,960,377,7415096,139459,2015-12-02 15:57:30
672095186491711488,1018,379,7415096,139459,2015-12-02 16:49:14
672125275208069120,2460,1183,7415096,139459,2015-12-02 18:48:47
672139350159835138,1786,742,7415096,139459,2015-12-02 19:44:43
672160042234327040,884,371,7415096,139459,2015-12-02 21:06:56
672169685991993344,1044,382,7415096,139459,2015-12-02 21:45:16
672205392827572224,2314,1197,7415096,139459,2015-12-03 00:07:09
672222792075620352,804,218,7415096,139459,2015-12-03 01:16:17
672231046314901505,1879,1049,7415096,139459,2015-12-03 01:49:05
672239279297454080,915,330,7415096,139459,2015-12-03 02:21:48
672245253877968896,701,162,7415096,139459,2015-12-03 02:45:32
672248013293752320,1761,631,7415096,139459,2015-12-03 02:56:30
672254177670729728,1464,765,7415096,139459,2015-12-03 03:21:00
672256522047614977,2873,1610,7415096,139459,2015-12-03 03:30:19
